     avg_return  std_return
0        -15.65        2.54
1        -15.49        1.89
2        -14.58        1.76
3        -14.78        2.37
4        -15.51        3.24
5        -15.82        3.04
6        -21.67        6.98
7        -18.82        6.06
8        -18.52        5.46
9        -17.52        4.14
10       -20.13        6.42
11       -20.23        5.63
12       -20.76        3.54
13       -20.70        5.86
14       -18.25        2.33
15       -17.50        4.28
16       -16.35        4.08
17       -16.19        4.00
18       -16.54        2.01
19       -16.15        4.02
20       -16.66        1.93
21       -17.30        2.45
22       -20.83        7.44
23       -21.00        7.14
24       -26.51        9.13
25       -22.47       14.02
26       -26.95       10.53
27       -26.02       11.06
28       -24.87       10.75
29       -25.15       10.50
30       -24.82       11.83
31       -22.96       14.45
32       -23.45       12.43
33       -22.86       13.12
34       -22.07       13.45
35       -23.18       12.45
36       -20.39       13.61
37       -23.17        9.38
38       -20.45       14.11
39       -21.04       13.41
40       -22.53       11.25
41       -21.43       13.63
42       -21.72       12.37
43       -17.92       14.59
44       -19.69       13.30
45       -20.99       12.58
46       -22.13       11.34
47       -19.11       13.35
48       -18.44       14.41
49       -16.86       14.35
50       -17.01       14.36
51       -15.63       15.20
52       -19.56       12.36
53       -17.52       14.01
54       -19.44       12.23
55       -17.69       14.51
56       -19.32       12.57
57       -17.61       14.10
58       -17.07       14.75
59       -16.91       15.37
60       -16.50       14.91
61       -18.56       13.61
62       -17.41       13.36
63       -15.49       16.44
64       -11.77       18.29
65       -17.20       16.08
66       -18.49       15.07
67       -17.28       15.46
68       -15.37       17.26
69       -20.78       14.15
70       -18.06       16.72
71       -19.18       15.84
72       -21.32       15.04
73       -20.35       14.05
74       -16.53       17.20
75       -21.52       12.47
76       -21.17       12.82
77       -16.02       16.28
78       -17.51       14.86
79       -20.03       12.33
80       -18.85       13.79
81       -18.38       14.03
82       -18.49       15.05
83       -17.37       14.46
84       -19.03       13.27
85       -18.59       14.35
86       -16.61       14.42
87       -14.85       16.16
88       -15.78       13.74
89       -13.84       15.11
90       -14.53       15.75
91       -14.45       15.28
92       -14.92       16.18
93       -11.54       17.61
94       -13.73       15.97
95       -11.62       17.17
96       -17.35       13.37
97       -13.49       16.31
98       -14.57       16.10
99       -15.31       15.40
100      -14.37       15.35
101      -18.02       12.50
102      -11.81       15.85
103      -11.51       16.25
104      -14.18       14.76
105      -13.44       15.52
106      -15.74       14.49
107      -13.19       16.19
108      -16.28       14.07
109      -16.09       14.67
110      -15.35       14.77
111      -16.86       13.58
112      -17.58       13.26
113      -16.85       14.23
114      -13.96       16.24
115      -17.06       13.51
116      -13.07       16.17
117      -13.07       16.03
118      -14.10       13.92
119      -14.45       13.65
120       -9.69       16.75
121      -11.38       16.21
122       -3.46       17.66
123       -2.44       18.14
124       -2.56       17.75
125       -3.30       17.41
126       -5.48       17.08
127       -1.85       17.80
128       -1.52       17.75
129       -1.76       17.47
130       -2.71       17.84
131       -3.67       17.03
132       -3.17       17.68
133       -1.71       17.52
134       -3.36       17.29
135       -4.45       17.71
136       -3.55       17.32
137       -1.11       17.45
138        0.29       16.84
139        1.17       17.85
140       -0.84       18.11
141       -1.83       17.50
142       -2.27       17.38
143       -7.82       16.61
144       -5.63       16.88
145       -7.01       16.62
146       -3.80       17.68
147       -4.85       17.62
148       -3.52       18.07
149       -6.02       16.78
150       -5.42       17.40
151       -3.80       17.39
152       -5.08       17.39
153       -0.48       17.80
154        2.37       16.96
155       -0.20       17.31
156       -1.83       17.92
157        1.25       17.83
158        2.78       17.00
159        3.63       16.53
160        3.27       16.24
161        9.04       13.57
162       10.63       12.28
163       14.02        7.31
164       13.41        8.54
165        7.50       14.61
166        9.33       13.28
167       14.17        7.93
168       14.68        6.71
169       15.11        4.78
170       15.55        4.30
171       15.60        3.58
172       14.26        7.70
173       14.89        5.70
174       14.00        8.42
175       12.48        9.83
176       14.10        6.53
177       14.61        6.71
178       15.23        4.84
179       15.85        3.56
