       actor_loss  value_loss  advantages
0             1.0      5078.5       -67.4
1             1.7      4980.3       -66.7
2             0.4      5642.1       -72.8
3             0.5      4709.5       -66.5
4             0.9      5215.4       -69.4
5             1.2      4662.6       -65.2
6             0.5      5253.9       -69.3
7             1.1      5466.7       -69.3
8             0.9      5220.2       -70.2
9             2.7      5697.2       -74.0
10            0.5      5590.0       -72.3
11            8.8      5202.4       -69.9
12            1.0      5022.1       -68.8
13            0.3      5278.6       -70.1
14            1.5      5095.1       -69.4
15            1.0      5304.7       -69.7
16            0.8      5255.1       -71.0
17            6.1      5649.6       -73.4
18            0.8      4742.3       -64.5
19            1.3      5408.7       -70.2
20            2.3      4493.1       -63.9
21            1.3      5686.7       -72.4
22            0.3      5052.8       -68.1
23            2.3      5678.4       -73.1
24            1.6      5187.5       -69.0
25            1.5      5132.8       -68.9
26            1.1      4733.8       -64.7
27            0.3      5342.5       -70.4
28            0.3      5638.5       -73.1
29            0.5      5158.7       -70.0
30            0.7      5090.9       -68.3
31            0.3      5290.3       -69.8
32            0.5      5506.5       -72.4
33            0.9      5390.8       -72.2
34            0.6      5299.1       -70.9
35            1.1      5016.8       -67.7
36            0.6      5377.4       -70.6
37            1.5      4937.6       -67.9
38            0.3      4945.3       -67.0
39            0.8      5157.3       -69.9
40            3.6      5620.1       -72.6
41            0.5      4932.7       -68.3
42            5.4      4754.4       -66.3
43            2.4      4583.8       -63.3
44            1.4      5619.1       -73.1
45            1.0      5590.5       -71.9
46            0.4      5648.4       -72.6
47            1.4      5052.3       -68.1
48            0.6      4931.5       -66.6
49            0.4      4754.1       -66.2
50            2.7      5111.1       -69.5
51            1.1      4969.9       -67.2
52            0.2      4678.1       -65.2
53            1.9      5042.1       -68.5
54            0.7      5010.5       -66.5
55            0.8      4602.5       -64.4
56            0.6      4789.0       -66.0
57            0.3      5567.7       -71.8
58            1.6      5240.2       -69.2
59            1.2      5103.9       -68.5
60            1.3      4476.7       -64.4
61            2.1      4996.1       -67.5
62            1.3      5020.2       -67.6
63            4.2      4841.6       -66.9
64            2.4      5096.8       -69.4
65            0.5      4749.2       -66.8
66            1.6      4926.6       -67.0
67            0.3      5006.0       -67.8
68            1.1      5126.1       -69.2
69            1.1      4837.6       -67.5
70            1.8      4987.2       -68.3
71            3.2      5159.7       -68.3
72            0.5      4772.6       -64.1
73            1.0      4874.3       -66.8
74            5.1      4937.1       -68.2
75            1.1      4781.2       -66.8
76            0.4      4781.0       -65.3
77            0.5      5020.6       -67.7
78            0.1      5036.6       -69.0
79            3.8      4502.6       -62.8
80            0.5      4667.4       -66.4
81            1.2      4903.8       -66.0
82            1.4      5154.4       -68.5
83            0.7      5108.4       -68.6
84            1.6      5254.1       -70.9
85            2.4      5055.3       -69.8
86            1.8      4232.7       -61.6
87            0.6      5179.9       -70.1
88            1.5      4288.5       -62.5
89            0.9      4897.9       -67.1
90            0.4      4141.0       -59.2
91            2.0      4571.3       -65.1
92            1.2      4837.1       -67.6
93            0.4      4608.5       -66.0
94            0.5      4470.8       -63.3
95            0.6      4959.1       -68.1
96            1.2      5244.0       -70.0
97            1.1      4889.3       -66.9
98            0.6      4945.6       -68.5
99            2.1      4606.3       -65.0
100           0.5      4822.1       -67.8
101           1.2      4705.5       -65.6
102           3.0      4377.8       -61.8
103           0.8      4848.8       -66.9
104           1.5      4834.0       -67.6
105           0.8      4699.7       -65.2
106           0.4      4583.5       -65.7
107           0.6      4520.9       -65.0
108          18.2      4706.1       -66.3
109           0.8      4884.3       -67.5
110           0.9      4260.6       -62.8
111           1.3      4355.5       -63.0
112           0.8      4584.5       -64.8
113           0.7      4376.8       -63.9
114           1.4      4560.5       -66.0
115           2.0      4493.7       -64.3
116           2.1      4099.9       -59.1
117           0.4      4458.4       -64.2
118           5.2      4890.0       -68.7
119           0.7      4685.6       -66.6
120           0.4      4842.8       -68.3
121           0.9      4064.0       -61.1
122           0.9      4496.0       -64.9
123           0.3      4168.7       -61.1
124           1.3      4532.5       -64.7
125           0.6      4364.9       -64.4
126           0.4      4103.7       -61.7
127           0.9      4081.9       -60.4
128           0.8      4313.7       -62.6
129           0.6      4488.1       -64.6
130           2.1      4101.6       -60.6
131           1.8      4095.6       -61.2
132           1.2      4483.8       -64.3
133           0.3      4077.0       -61.1
134           0.6      3916.9       -59.3
135           5.5      4117.9       -61.3
136           0.5      4282.3       -62.9
137           1.3      4077.4       -62.4
138           1.4      4027.6       -61.2
139           1.0      4074.2       -61.9
140           0.6      3876.1       -59.3
141           0.6      4192.4       -62.6
142           0.7      4227.2       -61.9
143           1.7      4077.9       -61.2
144           0.8      3952.7       -60.2
145           1.4      3888.7       -60.9
146           1.0      4103.1       -60.2
147           0.3      3811.4       -58.5
148           0.7      4258.1       -63.0
149           0.6      4232.8       -63.2
150           1.1      3478.8       -57.1
151          10.3      3703.0       -57.4
152           1.9      3758.7       -59.3
153           7.6      3931.2       -61.3
154           0.9      3893.9       -59.0
155           1.3      3676.2       -58.8
156           0.6      3429.2       -54.9
157           0.3      3591.5       -56.8
158           0.4      3626.8       -58.1
159           0.7      3823.1       -59.7
160           1.9      3616.2       -57.4
161           0.8      3734.3       -58.1
162           0.8      3445.3       -56.0
163           9.4      3602.6       -57.7
164           0.2      3346.0       -55.4
165           0.5      3449.4       -55.6
166           0.6      3633.9       -56.5
167           0.5      3527.5       -57.3
168           1.2      3785.4       -60.0
169           1.0      2911.8       -50.5
170           1.1      3266.4       -54.8
171           0.7      3287.2       -54.3
172           1.7      3399.0       -55.5
173           0.5      3054.9       -52.7
174           0.6      3005.2       -50.9
175           1.1      3322.6       -55.3
176           2.1      3138.4       -53.2
177           1.1      3254.1       -55.7
178           1.1      3344.8       -55.0
179           0.8      3025.7       -52.5
180           0.8      2932.1       -51.7
181           0.7      3461.0       -56.9
182           1.6      2978.1       -51.1
183           1.1      3131.0       -52.3
184           5.3      2856.1       -50.2
185           0.5      3360.9       -56.7
186           0.6      3340.3       -56.5
187           2.6      2951.8       -51.0
188           1.8      2448.8       -46.2
189           1.3      2882.7       -50.3
190           0.8      3143.2       -54.5
191           0.4      2797.1       -49.6
192           0.5      2720.3       -48.9
193           1.3      2671.8       -48.4
194           3.6      2827.8       -50.5
195           1.1      2870.2       -51.6
196           0.7      2517.9       -47.0
197           3.6      2404.2       -45.6
198           1.4      2390.0       -44.3
199           7.2      2755.7       -49.7
200           1.1      2629.5       -48.7
201           2.5      2676.2       -49.0
202           0.6      2349.2       -46.4
203           4.8      2416.5       -45.8
204           7.8      2539.7       -47.1
205           0.5      2032.4       -42.3
206           0.4      2263.2       -44.3
207           2.9      2597.6       -48.8
208           0.9      2544.2       -47.7
209           1.5      2049.6       -43.0
210          14.9      2361.3       -46.2
211           1.7      2474.3       -46.5
212           1.5      2272.8       -45.1
213           1.4      2377.1       -45.7
214           0.3      2017.5       -42.4
215           0.9      2097.3       -43.2
216           0.8      2349.6       -45.0
217           0.9      2143.1       -43.0
218           0.5      2138.6       -43.2
219           2.2      1941.5       -40.3
